size,time
100, 0.000118 
200, 0.000600 
300, 0.001325 
400, 0.002082 
500, 0.003126 
600, 0.004231 
700, 0.002720 
800, 0.003230 
900, 0.004050 
1000, 0.005104 
1100, 0.006675 
1200, 0.007198 
1300, 0.008368 
1400, 0.009771 
1500, 0.011056 
1600, 0.012427 
1700, 0.014241 
1800, 0.021369 
1900, 0.018367 
2000, 0.030988 
2100, 0.021150 
2200, 0.023467 
2300, 0.025736 
2400, 0.027654 
2500, 0.033696 
2600, 0.032230 
2700, 0.034796 
2800, 0.037569 
2900, 0.041401 
3000, 0.042611 
3100, 0.048061 
3200, 0.048346 
3300, 0.051576 
3400, 0.057068 
3500, 0.061125 
3600, 0.061778 
3700, 0.068808 
3800, 0.068300 
3900, 0.076235 
4000, 0.075769 
4100, 0.083268 
4200, 0.082624 
4300, 0.088238 
4400, 0.090494 
4500, 0.098434 
4600, 0.098880 
4700, 0.107018 
4800, 0.111204 
4900, 0.115161 
5000, 0.119561 
5100, 0.124309 
5200, 0.130577 
5300, 0.134788 
5400, 0.140830 
5500, 0.144853 
5600, 0.147470 
5700, 0.151993 
5800, 0.158042 
5900, 0.163364 
6000, 0.169059 
6100, 0.174499 
6200, 0.180262 
6300, 0.187835 
6400, 0.193365 
6500, 0.198189 
6600, 0.204163 
6700, 0.210276 
6800, 0.216288 
6900, 0.224275 
7000, 0.230163 
7100, 0.235943 
7200, 0.243651 
7300, 0.249844 
7400, 0.256432 
7500, 0.263119 
7600, 0.271928 
7700, 0.278443 
7800, 0.286070 
7900, 0.293601 
8000, 0.298404 
8100, 0.305698 
8200, 0.314795 
8300, 0.322394 
8400, 0.330364 
8500, 0.338062 
8600, 0.344735 
8700, 0.353501 
8800, 0.361963 
8900, 0.368523 
9000, 0.377055 
9100, 0.385236 
9200, 0.393494 
9300, 0.401988 
9400, 0.410525 
9500, 0.418377 
9600, 0.428925 
9700, 0.437868 
9800, 0.447363 
9900, 0.456078 
10000, 0.465426 
10100, 0.474709 
10200, 0.484655 
10300, 0.494319 
10400, 0.502613 
10500, 0.512703 
10600, 0.522975 
10700, 0.532393 
10800, 0.542361 
10900, 0.552387 
11000, 0.562127 
11100, 0.572478 
11200, 0.582363 
11300, 0.595974 
11400, 0.603584 
11500, 0.614838 
11600, 0.624648 
11700, 0.634842 
11800, 0.646663 
11900, 0.656415 
12000, 0.667742 
12100, 0.679579 
12200, 0.690786 
12300, 0.702571 
12400, 0.714678 
12500, 0.725878 
12600, 0.738714 
12700, 0.747365 
12800, 0.758458 
12900, 0.769296 
13000, 0.781234 
13100, 0.793928 
13200, 0.802937 
13300, 0.814958 
13400, 0.827074 
13500, 0.840611 
13600, 0.852645 
13700, 0.864688 
13800, 0.878007 
13900, 0.890052 
14000, 0.903139 
14100, 0.916375 
14200, 0.929411 
14300, 0.942776 
14400, 1.008722 
14500, 0.975826 
14600, 1.010301 
14700, 0.999545 
14800, 1.009741 
14900, 1.024064 
15000, 1.036645 
15100, 1.050771 
15200, 1.064753 
15300, 1.078952 
15400, 1.093153 
15500, 1.107162 
15600, 1.120861 
15700, 1.134745 
15800, 1.151859 
15900, 1.165618 
16000, 1.181032 
16100, 1.198114 
16200, 1.210474 
16300, 1.224888 
16400, 1.239885 
16500, 1.255191 
16600, 1.277009 
16700, 1.288426 
16800, 1.303182 
16900, 1.318236 
17000, 1.334906 
17100, 1.350772 
17200, 1.369633 
17300, 1.397304 
17400, 1.403433 
17500, 1.411995 
17600, 1.428936 
17700, 1.446790 
17800, 1.462627 
17900, 1.480039 
18000, 1.495238 
18100, 1.511944 
18200, 1.528242 
18300, 1.545319 
18400, 1.560272 
18500, 1.579160 
18600, 1.595803 
18700, 1.615477 
18800, 1.627252 
18900, 1.647439 
19000, 1.663504 
19100, 1.681037 
19200, 1.699562 
19300, 1.718710 
19400, 1.735381 
19500, 1.752580 
19600, 1.771024 
19700, 1.788569 
19800, 1.806903 
19900, 1.825447 
20000, 1.842221 
2000, 0.024215 
2100, 0.026560 
2200, 0.023752 
2300, 0.025556 
2400, 0.027869 
2500, 0.030103 
2600, 0.032660 
2700, 0.034896 
2800, 0.037538 
2900, 0.040296 
3000, 0.042991 
3100, 0.046008 
3200, 0.048716 
3300, 0.051871 
3400, 0.055056 
3500, 0.058123 
3600, 0.061398 
3700, 0.064885 
3800, 0.068442 
3900, 0.072081 
4000, 0.075776 
4100, 0.079573 
4200, 0.083268 
4300, 0.087522 
4400, 0.091709 
4500, 0.095698 
4600, 0.099438 
4700, 0.103973 
4800, 0.108021 
4900, 0.113115 
5000, 0.117302 
5100, 0.122024 
5200, 0.126553 
5300, 0.131343 
5400, 0.137114 
5500, 0.141545 
5600, 0.146473 
5700, 0.151931 
5800, 0.157811 
5900, 0.162371 
6000, 0.168103 
6100, 0.173538 
6200, 0.179024 
6300, 0.184776 
6400, 0.191152 
6500, 0.197245 
6600, 0.202603 
6700, 0.209722 
6800, 0.215169 
